ID;name;count;lat;lon
31802;Good Hope Rd & MLK Ave SE;111;38.86737;-76.98804
31066;Columbia Pike & S Orme St;110;38.86727;-77.07231
31309;Fessenden St & Wisconsin Ave NW;110;38.95481;-77.08242
31331;Arizona Ave & MacArthur Blvd NW;110;38.92729;-77.10366
31521;18th & Monroe St NE;110;38.93293;-76.97951
32001;Fenton St & New York Ave ;105;38.98540;-77.02308
32053;Medical Center Metro ;105;38.99938;-77.09789
31707;Benning Rd & East Capitol St NE / Benning Rd Metro;104;38.88995;-76.93723
31058;Columbia Pike & Monroe St;103;38.86034;-77.09369
31913;Commonwealth Ave & E Monroe Ave;103;38.82006;-77.06282
31032;Washington Blvd & 7th St N;102;38.88081;-77.09079
31053;Columbia Pike & S Courthouse Rd;102;38.86385;-77.08032
32204;Tysons Corner Station;102;38.92093;-77.22212
32403;Baltimore Ave & Jefferson St;101;38.95549;-76.94013
31405;Georgia Ave & Emerson St NW;100;38.94967;-77.02734
32040;Friendship Blvd & Willard Ave;99;38.96116;-77.08866
31059;Four Mile Run Dr & S Walter Reed Dr;98;38.84735;-77.09542
31949;Columbia Pike & S Scott St/12th St S;98;38.86355;-77.07720
32422;The Mall at Prince Georges;98;38.96884;-76.95417
31050;Barton St & 10th St N;97;38.88498;-77.08779
31510;18th St & Rhode Island Ave NE;97;38.92707;-76.97894
31070;Arlington Blvd & Fillmore St;95;38.87375;-77.08924
31928;N. Beauregard St. & Berkley St.;95;38.84153;-77.10775
31096;Walter Reed Dr & 8th St S;94;38.86613;-77.08787
31827;St. Elizabeths West Campus/DHS ;94;38.85313;-77.00517
31422;Broad Branch Rd & Northampton St NW;93;38.96578;-77.06863
31046;Henry St & Pendleton St;92;38.81146;-77.05027
31057;Four Mile Run Dr & S Shirlington Rd;92;38.84440;-77.08593
32021;47th & Elm St;91;38.98245;-77.09199
32029;Offutt Ln & Chevy Chase Dr;90;38.97710;-77.09459
